"area_code","parcel_id","n_total","n_both","n_within","n_outside","n_missing_chm","n_missing_zq","n_missing_both","pct_outside_given_both","mean_h_p05","mean_h_p50","mean_h_p95","mean_offset","median_offset","sd_offset","offset_p05","offset_p25","offset_p75","offset_p95","pct_offset_positive","n_short_h_le_5","n_tall_h_gt_5","pct_outside_short","pct_outside_tall","mean_offset_short","mean_offset_tall","mean_subcell_count","pct_full_support","pct_undersupported","pct_outside_full_support"
"rbmn","DJI_20250505134901_1218_1349_L1_RBMNN_UC_01",8888,6911,5140,1771,667,0,1310,25.63,0.652,4.795,6.536,1.108,1.011,0.845,0.109,0.59,1.509,2.587,96.76,4075,2836,18.67,35.61,0.924,1.372,99.1,86.7,8.09,80.42
"rbmn","DJI_20250505161616_1356_1832_L1_RBMNN_UC_01",10349,7754,6245,1509,1318,0,1277,19.46,0.712,4.507,6.634,0.957,0.839,0.787,0.102,0.456,1.325,2.43,97.87,4964,2790,9.07,37.96,0.678,1.454,99,85.68,12.89,76.07
"rbmn","DJI_202505061343_002_Zenmuse_L1_RBMN_AB_01",7742,4318,3615,703,364,0,3060,16.28,0.616,11.402,14.174,1.055,0.972,0.95,0.1,0.532,1.431,2.556,97.34,658,3660,1.67,18.91,0.114,1.225,99.6,92.22,4.77,39.98
"rbmn","DJI_202505061423_0001_Zenmuse_L1_RBMN_AB_01",5609,3156,2415,741,250,0,2203,23.48,0.66,11.871,14.644,1.2,1.038,1.319,-0.077,0.522,1.681,3.37,94.46,278,2878,3.6,25.4,0.05,1.311,99.6,94.23,4.53,43.11
"rbmn","DJI_202505061611_004_Zenmuse-L1_RBMNN_CC_01",5609,3156,2415,741,250,0,2203,23.48,0.66,11.871,14.644,1.2,1.038,1.319,-0.077,0.522,1.681,3.37,94.46,278,2878,3.6,25.4,0.05,1.311,99.6,94.23,4.53,43.11
"rbmn","DJI_202505061638_005_Zenmuse-L1_RBMNN_CC_01",2844,1971,1594,377,288,0,585,19.13,0.638,8.271,10.17,0.911,0.847,0.819,-0.13,0.438,1.31,2.239,93.51,221,1750,10.86,20.17,0.481,0.965,99.4,91.58,10.44,53.13
"rbmn","DJI_202505071306_001_Zenmuse-L1_RBMNN_PE_01_100m",3381,2179,1434,745,399,0,803,34.19,0.837,4.112,6.421,1.177,1.104,1.004,-0.022,0.506,1.748,2.923,94.49,1545,634,27.44,50.63,0.984,1.648,99.2,89.22,11.68,77.47
"rbmn","DJI_202505071330_002_Zenmuse-L1_RBMNN_PE_01_120m",4144,2570,1695,875,513,0,1061,34.05,0.741,3.611,5.832,1.119,0.971,1.011,0.016,0.277,1.787,2.906,95.18,2139,431,27.26,67.75,0.961,1.906,99.1,86.85,12.31,68.73
"rbmn","DJI_202505071350_003_Zenmuse-L1_RBMNN_PE_01_80m",4088,2488,1665,823,585,0,1015,33.08,0.761,3.171,5.29,1.05,0.878,1.062,-0.184,0.196,1.745,2.961,92.73,2291,197,29.86,70.56,0.967,2.018,98.7,81.75,14.09,67.26
"rbmn","DJI_202505071550_004_Zenmuse-L1_RBMNN_PE_04_100m",3348,2033,1249,784,225,0,1090,38.56,0.729,5.383,7.671,1.343,1.257,0.962,0.049,0.775,1.865,3.018,97.44,838,1195,19.45,51.97,0.875,1.671,99.4,91.05,7.05,84.44
