"area_code","floor_m","ratio","n_both_present","n_outside","pct_outside_pool"
"rbmn",0.5,0.1,112611,71992,63.93
"rbmn",0.5,0.125,112611,63747,56.61
"rbmn",0.5,0.15,112611,55894,49.63
"rbmn",0.5,0.175,112611,48791,43.33
"rbmn",0.5,0.2,112611,42570,37.8
"rbmn",0.5,0.25,112611,32764,29.09
"rbmn",0.75,0.1,112611,65737,58.38
"rbmn",0.75,0.125,112611,59037,52.43
"rbmn",0.75,0.15,112611,52881,46.96
"rbmn",0.75,0.175,112611,46993,41.73
"rbmn",0.75,0.2,112611,41472,36.83
"rbmn",0.75,0.25,112611,32289,28.67
"rbmn",1,0.1,112611,56671,50.32
"rbmn",1,0.125,112611,52269,46.42
"rbmn",1,0.15,112611,47408,42.1
"rbmn",1,0.175,112611,42872,38.07
"rbmn",1,0.2,112611,38661,34.33
"rbmn",1,0.25,112611,31087,27.61
"rbmn",1.25,0.1,112611,46551,41.34
"rbmn",1.25,0.125,112611,44376,39.41
"rbmn",1.25,0.15,112611,41331,36.7
"rbmn",1.25,0.175,112611,37898,33.65
"rbmn",1.25,0.2,112611,34603,30.73
"rbmn",1.25,0.25,112611,28818,25.59
"rbmn",1.5,0.1,112611,37204,33.04
"rbmn",1.5,0.125,112611,36385,32.31
"rbmn",1.5,0.15,112611,34786,30.89
"rbmn",1.5,0.175,112611,32609,28.96
"rbmn",1.5,0.2,112611,30198,26.82
"rbmn",1.5,0.25,112611,25702,22.82
"rbmn",1.75,0.1,112611,29525,26.22
"rbmn",1.75,0.125,112611,29233,25.96
"rbmn",1.75,0.15,112611,28490,25.3
"rbmn",1.75,0.175,112611,27321,24.26
"rbmn",1.75,0.2,112611,25813,22.92
"rbmn",1.75,0.25,112611,22516,19.99
"rbmn",2,0.1,112611,23692,21.04
"rbmn",2,0.125,112611,23572,20.93
"rbmn",2,0.15,112611,23246,20.64
"rbmn",2,0.175,112611,22622,20.09
"rbmn",2,0.2,112611,21719,19.29
"rbmn",2,0.25,112611,19512,17.33
